Team 1 Compo,Team 2 Compo,Victory
"['Aatrox', 'Jinx', ""Kai'Sa"", 'Kennen', 'Twitch']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Fizz', 'Jinx', ""Kha'Zix"", 'Twitch', 'Yuumi']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Jinx', ""Kai'Sa"", ""Kha'Zix"", 'Twitch', 'Varus']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Diana', ""Kai'Sa"", 'Morgana', 'Nocturne', 'Twitch']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Kayle', 'Sona', 'Tristana', 'Twitch', 'Ezreal']","['Alistar', 'Galio', 'Nasus', 'Ryze', 'Ezreal']",1
"['Jinx', ""Kai'Sa"", 'Sona', 'Twitch', 'Xin Zhao']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Jinx', 'Tryndamere', 'Veigar', 'Yasuo', 'Zoe']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Jinx', 'Miss Fortune', 'Tristana', 'Veigar', 'Ezreal']","['Alistar', 'Galio', 'Nasus', 'Ryze', 'Ezreal']",1
"['Aatrox', 'Miss Fortune', 'Sivir', 'Twitch', 'Zoe']","['Alistar', 'Ezreal', 'Galio', 'Nasus', 'Ryze']",1
"['Nocturne', 'Sona', 'Tristana', 'Urgot', 'Vladimir']","['Bard', 'Jax', 'Miss Fortune', 'Volibear', 'Zed']",1
"['Garen', ""Kai'Sa"", 'Morgana', 'Syndra', 'Twitch']","['Akali', 'Ashe', 'Leona', 'Sylas', 'Teemo']",0
"['Katarina', 'Nasus', 'Rengar', 'Thresh', 'Vayne']","['Azir', 'Draven', 'Garen', 'Hecarim', 'Lux']",0
"['Caitlyn', 'Qiyana', 'Sejuani', 'Shen', ""Vel'Koz""]","['Jarvan IV', 'Nasus', 'Vayne', 'Veigar', 'Zed']",1
"['Blitzcrank', 'Garen', 'Jinx', 'Lux', 'Sejuani']","['Dr. Mundo', 'Jarvan IV', 'Jhin', 'Katarina', 'Lulu']",1
"['Irelia', 'Jinx', 'Shen', 'Thresh', 'Udyr']","['Ezreal', 'Graves', 'Leona', 'Nasus', 'Vladimir']",0
"['Jarvan IV', 'Miss Fortune', 'Mordekaiser', 'Nautilus', 'Yasuo']","['Brand', 'Garen', 'Maokai', 'Tristana', 'Trundle']",0
"['Karthus', ""Kog'Maw"", 'Lulu', 'Volibear', 'Yone']","['Annie', 'Ashe', 'Diana', 'Garen', 'Pyke']",0
"['Ekko', 'Kayle', 'Mordekaiser', 'Nami', 'Ashe']","['Lillia', 'Pyke', 'Singed', 'Ziggs', 'Ashe']",1
"['Bard', 'Hecarim', 'Illaoi', 'Lucian', 'Veigar']","['Ashe', 'Irelia', 'Nami', 'Syndra', 'Warwick']",0
"['Ekko', 'Kennen', 'Miss Fortune', 'Pyke', 'Yasuo']","['Garen', 'Kayle', 'Kayn', 'Kindred', 'Xayah']",0
"['Kalista', 'Nautilus', 'Shen', 'Volibear', 'Zed']","['Ahri', 'Jhin', 'Kindred', 'Rammus', 'Yasuo']",0
"['Fizz', 'Kindred', 'Olaf', 'Tristana', 'Tryndamere']","['Akali', 'Caitlyn', 'Katarina', 'Lux', 'Udyr']",1
"['Jhin', 'Nunu & Willump', 'Soraka', 'Urgot', 'Yone']","['Ahri', 'Caitlyn', 'Karthus', 'Kennen', 'Vi']",1
"['Diana', 'Lux', 'Miss Fortune', 'Pantheon', 'Yasuo']","['Caitlyn', 'Ekko', 'Fiora', 'Irelia', 'Trundle']",1
"['Ashe', 'Garen', 'Gnar', 'Volibear', 'Ziggs']","['Lucian', 'Nami', 'Nocturne', 'Shen', 'Zed']",0
"['Ahri', ""Kog'Maw"", 'Nasus', 'Neeko', 'Tryndamere']","['Miss Fortune', 'Nocturne', 'Ryze', 'Sejuani', 'Urgot']",0
"['Darius', 'Heimerdinger', 'Kalista', 'Master Yi', 'Soraka']","['Lucian', 'Sejuani', 'Urgot', 'Warwick', 'Yone']",0
